content,type
"Avoid the following situations: strained reps, poor energy levels, incomplete sets, longer-than-desired workouts, and shoddy results.",gym
"Eat slow-digesting carbs (oatmeal, sweet potatoes, fruit, buckwheat, or whole-wheat bread) before workouts.",gym
"About two hours before you hit the gym, include a green salad with low-fat dressing with your meal.",gym
Caffeine taken pre-workout increases fat-burning and endurance and blunts muscle pain during training.,gym
Performing a workout with forced reps increases bodybuilder’s growth hormone (GH) levels.,gym
A good mix of performing fast repetitions and using slow reps is the best way to maximize strength and size.,gym
Create a playlist of your favorite songs that jack up your adrenaline and bring it to the gym.,gym
Too much heavy training may work against muscle growth.,gym
Taking a whey-plus-casein protein powder immediately post-workout increases muscle mass significantly.,gym
"Liver, shellfish and duck are other good sources of healthy cholesterol.",gym
Working out after 6 p.m. can help bodybuilders gain more muscle and lost more bodyfat.,gym
You are less likely to become injured if you simply maintain your natural stride.,jogging
The Run-Walk Method is a great way for new runners to get started and for experienced runners to improve their race times.,jogging
Start running at a moderate pace (i.e. where you can easily hold a conversation).,jogging
Schedule your training so you run one day and rest the next. ,jogging
"Try to run relaxed and with good form. Short, easy steps are more effective than long, powerful strides.",jogging
Running on pavement is ideal for fast running – there is very little danger of turning your ankle. ,jogging
A forest or park floor is soft and provides excellent cushioning. ,jogging
A sandy surface trains your muscles and makes you lift your feet.,jogging
The treadmill allows you to train year round with good cushioning. ,jogging
"Stronger legs and core muscles will better support the load in your pack and help you hike harder, longer.",hiking
"Build endurance in those same muscle groups, as well as the shoulders and lower back, because hiking can be an all-day activity.",hiking
Improve your balance so you have a more stable base that will allow you to take uneven terrain in stride.,hiking
Don’t forget your cardio.,hiking
Get yourself warmed up by doing a brisk 5- to 10-minute walk. ,hiking
"Move at your own pace, going slowly at first.",hiking
"For the more moderate hikers, country parks would be a good start. ",hiking
"To maximise the health benefits of hiking, you may need to pay attention to your techniques and check on your progress.",hiking
Choose a hiking trail suitable for your strength and ability.,hiking
Use a front clip harness if your dog pulls on a leash.,walk_dog
Let your dog sniff around for mental stimulation.,walk_dog
Don’t use a retractable leash for dog walks.,walk_dog
Always pick up your dogs poop.,walk_dog
Bring plenty of water for your dog.,walk_dog
Make sure your dog is wearing proper identification.,walk_dog
Watch out for hot pavement in the summer.,walk_dog
Keep your dogs focus by bringing along high value treats.,walk_dog
Ask before approaching other dogs.,walk_dog
Wear reflective gear if you walk during the evening.,walk_dog
